commit_id,category_match,label_category,model_category,is_security_match,label_is_security,model_is_security,is_feature_match,label_is_feature,model_is_feature,complexity_match,label_complexity,model_complexity
8b877135a38aac58141e81c2894bc28ad7f0e642,True,Logic & Correctness,Logic & Correctness,True,False,False,True,FALSE,False,False,3,2.0
6d373a26fff17281ac1c872adae95b14727ca959,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,True,1,1.0
6c73cb8b67f3332b6bd2b2ff0480482770713838,True,Feature & Value Add,Feature & Value Add,True,False,False,True,TRUE,True,False,1,2.0
6bd26dc2d0d57212c9aa3925a9985deca51e58af,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,True,1,1.0
abd74186f972fc51e95b9ebdfd028131d8249aeb,True,Memory Safety & Robustness,Memory Safety & Robustness,False,True,False,True,FALSE,False,True,5,5.0
a617e24f32c8b2fd7ec68c77389dbac6702ee85d,False,Logic & Correctness,Memory Safety & Robustness,False,False,True,True,FALSE,False,False,3,5.0
8d7e38d536fc020bd7510c82cfbc3f98f1b00aa7,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,False,3,1.0
fd9b09b2812e7814af77a73d2d034ed09702240a,False,Logic & Correctness,"Build, Refactor & Internal",True,False,False,True,FALSE,False,True,1,1.0
e166254717384e8d4195f2a7bf08a74e1a7ebeae,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,True,1,1.0
8f597c3bf515bc1dc962c7eefbe6eb6745b9d5a5,True,Logic & Correctness,Logic & Correctness,True,False,False,True,FALSE,False,False,3,2.0
37f961db6ee47ecf9d67c5eb0945c37c79405d03,True,Logic & Correctness,Logic & Correctness,True,False,False,True,FALSE,False,False,3,5.0
cba68396ac4351a5c4451c483c3343a800d71beb,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,False,3,1.0
a44c8a43eebf6dc8119ebf465b1f617ee3b08c71,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,True,1,1.0
1406b20fe9c2f5e9bd1dd11cfa08bc3d81b294c2,True,Memory Safety & Robustness,Memory Safety & Robustness,True,False,False,True,FALSE,False,False,5,3.0
95175012ecb180e9f40f57455a600401f854075c,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,False,1,3.0
2cc93f77543b5721257f795f303bfb56a4b384c7,True,Feature & Value Add,Feature & Value Add,True,False,False,True,TRUE,True,False,3,5.0
2913e4cef5f8ab04cc9b1c6ac0d2f6b2d89a5a90,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,True,1,1.0
5d1a4d81bf16fe341017f46bc1f102bdf72778fa,False,Logic & Correctness,Feature & Value Add,True,False,False,False,FALSE,True,False,5,3.0
fd7ce5f7e1d65f632f4d795b3357a510be07ee74,True,Logic & Correctness,Logic & Correctness,True,False,False,True,FALSE,False,True,3,3.0
13962b06d55aca59ae878383be6ded18de72587d,False,Logic & Correctness,Memory Safety & Robustness,False,False,True,True,FALSE,False,True,3,3.0
8326e73bc163e15fd7b5264c0cc6cf2480723869,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,False,1,2.0
572577e094bd436b2124aa0ef44df3d57f97d793,False,"Build, Refactor & Internal",Memory Safety & Robustness,True,False,False,True,FALSE,False,False,3,1.0
d94849b092539a91ac1060c0df03ea79ae1e8d33,True,Logic & Correctness,Logic & Correctness,True,False,False,True,FALSE,False,False,5,3.0
c9a46a91fe43e847c0a90dcdf5fce2e4abbdf667,False,Memory Safety & Robustness,"Build, Refactor & Internal",True,False,False,True,FALSE,False,False,3,2.0
f4653dcd8be8b2b44814b9a3fd358a7bbb87b8c4,True,Memory Safety & Robustness,Memory Safety & Robustness,True,True,True,True,FALSE,False,True,3,3.0
0c97eaa772b52dccff973b1d78907ee4033ca739,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,True,3,3.0
2c2128387d7b5670f7f4a54cedc45b3b29552630,False,Logic & Correctness,Concurrency & Thread Safety,False,True,False,True,FALSE,False,False,3,1.0
fd343dc36022e2c74ccd4c55c02c028e6db49ec3,True,Logic & Correctness,Logic & Correctness,True,False,False,True,FALSE,False,False,3,2.0
28b7b4bd80e0c4b9b04e0f68f0cff563c6560cc3,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,True,1,1.0
cb2a71e3bac6f657aa179551bf032352838cf1b2,True,"Build, Refactor & Internal","Build, Refactor & Internal",True,False,False,True,FALSE,False,True,1,1.0
